TCP Connection Time,TLS Connection Time,Total Connection Time,Time to First Byte,Download Time,Total Time
0:00:00.094593,0:00:00.095058,0:00:00.206108,0:00:00.206120,0:00:00.097451,0.396919000
0:00:00.094593,0:00:00.095058,0:00:00.206108,0:00:00.206120,0:00:00.097451,0.396919000
0:00:00.094593,0:00:00.095058,0:00:00.206108,0:00:00.206120,0:00:00.097451,0.396919000
0:00:00.094593,0:00:00.095058,0:00:00.206108,0:00:00.206120,0:00:00.097451,0.396919000
0:00:00.094593,0:00:00.095058,0:00:00.206108,0:00:00.206120,0:00:00.097451,0.396919000
