Total Connection Time,Time to First Byte,Download Time,Total Time
0:00:00.022104,0:00:00.022120,0:00:00.010863,0:00:00.032983
0:00:00.022104,0:00:00.022120,0:00:00.010863,0:00:00.032983
0:00:00.022104,0:00:00.022120,0:00:00.010863,0:00:00.032983
0:00:00.022104,0:00:00.022120,0:00:00.010863,0:00:00.032983
0:00:00.022104,0:00:00.022120,0:00:00.010863,0:00:00.032983
