Region,Workload,Filename,Total Connection Time,Time to First Byte,Download Time,Total Time
India,VIDEO,100mb,0:00:00.000816,0:00:00.000878,0:00:01.050713,0:00:01.051591
India,VIDEO,50mb,0:00:00.001177,0:00:00.001210,0:00:04.040168,0:00:04.041378
India,VIDEO,50mb,0:00:00.001177,0:00:00.001259,0:00:03.892162,0:00:03.893421
India,VIDEO,10mb,0:00:00.001097,0:00:00.001153,0:00:03.629370,0:00:03.630523
India,VIDEO,100mb,0:00:00.000826,0:00:00.000885,0:00:01.064775,0:00:01.065660
India,VIDEO,100mb,0:00:00.000811,0:00:00.000842,0:00:04.890167,0:00:04.891009
India,VIDEO,10mb,0:00:00.001548,0:00:00.001622,0:00:00.101571,0:00:00.103193
India,VIDEO,100mb,0:00:00.001343,0:00:00.001524,0:00:01.100634,0:00:01.102158
India,VIDEO,100mb,0:00:00.001021,0:00:00.001074,0:00:04.590083,0:00:04.591157
India,VIDEO,1mb,0:00:00.000838,0:00:00.000920,0:00:00.021449,0:00:00.022369
India,VIDEO,100mb,0:00:00.001116,0:00:00.001124,0:00:04.521227,0:00:04.522351
India,VIDEO,1mb,0:00:00.000897,0:00:00.000950,0:00:03.454205,0:00:03.455155
India,VIDEO,50mb,0:00:00.000930,0:00:00.000992,0:00:04.054954,0:00:04.055946
India,VIDEO,1mb,0:00:00.000881,0:00:00.000939,0:00:03.371605,0:00:03.372544
India,VIDEO,50mb,0:00:00.001156,0:00:00.001225,0:00:03.987996,0:00:03.989221
India,VIDEO,100mb,0:00:00.000836,0:00:00.000897,0:00:04.443262,0:00:04.444159
India,VIDEO,50mb,0:00:00.000854,0:00:00.001441,0:00:03.908070,0:00:03.909511
India,VIDEO,50mb,0:00:00.001136,0:00:00.001192,0:00:03.997245,0:00:03.998437
India,VIDEO,50mb,0:00:00.001133,0:00:00.001139,0:00:04.008553,0:00:04.009692
India,VIDEO,50mb,0:00:00.000860,0:00:00.000907,0:00:00.485457,0:00:00.486364
India,VIDEO,1mb,0:00:00.000789,0:00:00.000885,0:00:03.429048,0:00:03.429933
India,VIDEO,50mb,0:00:00.001092,0:00:00.001162,0:00:03.850793,0:00:03.851955
India,VIDEO,10mb,0:00:00.001237,0:00:00.001293,0:00:00.091684,0:00:00.092977
India,VIDEO,10mb,0:00:00.000782,0:00:00.000839,0:00:03.486563,0:00:03.487402
India,VIDEO,100mb,0:00:00.001452,0:00:00.001484,0:00:01.009494,0:00:01.010978
India,VIDEO,50mb,0:00:00.000792,0:00:00.000888,0:00:00.476106,0:00:00.476994
India,VIDEO,10mb,0:00:00.000816,0:00:00.000873,0:00:03.586024,0:00:03.586897
India,VIDEO,10mb,0:00:00.001022,0:00:00.001073,0:00:03.597382,0:00:03.598455
India,VIDEO,50mb,0:00:00.000956,0:00:00.001010,0:00:03.905248,0:00:03.906258
India,VIDEO,1mb,0:00:00.000798,0:00:00.000803,0:00:03.385557,0:00:03.386360
India,VIDEO,100mb,0:00:00.000997,0:00:00.001027,0:00:04.605141,0:00:04.606168
India,VIDEO,100mb,0:00:00.000982,0:00:00.001038,0:00:04.709250,0:00:04.710288
India,VIDEO,10mb,0:00:00.001100,0:00:00.001157,0:00:03.607282,0:00:03.608439
India,VIDEO,100mb,0:00:00.001053,0:00:00.001158,0:00:04.436823,0:00:04.437981
India,VIDEO,100mb,0:00:00.000789,0:00:00.000824,0:00:01.070098,0:00:01.070922
India,VIDEO,100mb,0:00:00.000819,0:00:00.000872,0:00:00.996063,0:00:00.996935
India,VIDEO,10mb,0:00:00.000816,0:00:00.000845,0:00:00.105537,0:00:00.106382
India,VIDEO,50mb,0:00:00.000793,0:00:00.000861,0:00:03.919962,0:00:03.920823
India,VIDEO,50mb,0:00:00.001133,0:00:00.001197,0:00:03.938089,0:00:03.939286
India,VIDEO,50mb,0:00:00.000807,0:00:00.000888,0:00:03.968305,0:00:03.969193
India,VIDEO,10mb,0:00:00.000836,0:00:00.000916,0:00:03.788726,0:00:03.789642
India,VIDEO,1mb,0:00:00.001043,0:00:00.001050,0:00:03.396587,0:00:03.397637
India,VIDEO,100mb,0:00:00.000841,0:00:00.000898,0:00:01.046334,0:00:01.047232
India,VIDEO,1mb,0:00:00.000869,0:00:00.000965,0:00:00.014649,0:00:00.015614
India,VIDEO,10mb,0:00:00.001081,0:00:00.001147,0:00:00.113933,0:00:00.115080
India,VIDEO,1mb,0:00:00.000839,0:00:00.000930,0:00:03.570842,0:00:03.571772
India,VIDEO,10mb,0:00:00.000799,0:00:00.000854,0:00:03.524515,0:00:03.525369
India,VIDEO,10mb,0:00:00.001021,0:00:00.001097,0:00:03.622363,0:00:03.623460
India,VIDEO,1mb,0:00:00.000859,0:00:00.000896,0:00:03.443125,0:00:03.444021
India,VIDEO,1mb,0:00:00.002605,0:00:00.002806,0:00:03.467634,0:00:03.470440
India,VIDEO,100mb,0:00:00.000820,0:00:00.000874,0:00:04.494008,0:00:04.494882
India,VIDEO,1mb,0:00:00.001782,0:00:00.001838,0:00:03.600002,0:00:03.601840
India,VIDEO,100mb,0:00:00.000833,0:00:00.000917,0:00:01.001554,0:00:01.002471
India,VIDEO,10mb,0:00:00.001214,0:00:00.001312,0:00:03.566026,0:00:03.567338
India,VIDEO,1mb,0:00:00.017432,0:00:00.017620,0:00:03.683577,0:00:03.701197
India,VIDEO,100mb,0:00:00.000849,0:00:00.000905,0:00:04.492939,0:00:04.493844
India,VIDEO,1mb,0:00:00.000870,0:00:00.000875,0:00:03.607535,0:00:03.608410
India,VIDEO,10mb,0:00:00.000807,0:00:00.000880,0:00:03.676108,0:00:03.676988
India,VIDEO,1mb,0:00:00.000754,0:00:00.000828,0:00:03.393296,0:00:03.394124
India,VIDEO,100mb,0:00:00.000883,0:00:00.000923,0:00:01.021196,0:00:01.022119
India,VIDEO,1mb,0:00:00.001257,0:00:00.001315,0:00:03.405305,0:00:03.406620
India,VIDEO,1mb,0:00:00.000816,0:00:00.000875,0:00:03.500517,0:00:03.501392
India,VIDEO,100mb,0:00:00.001227,0:00:00.001312,0:00:04.438588,0:00:04.439900
